Clutch,SubTreat,TadAge,TotLength
CHS002,SUB-96,144,6.775
CHS002,SUB-96,144,7.273
CHS002,SUB-96,144,7.605
CHS002,SUB-96,144,6.49
CHS002,SUB-96,144,6.57
CHS002,SUB-96,144,6.949
CHS002,SUB-96,144,6.797
CHS002,SUB-96,144,7.2
CHS002,SUB-96,144,7.469
CHS002,SUB-96,144,7.535
CHS003,SUB-96,144,7.594
CHS003,SUB-96,144,6.772
CHS003,SUB-96,144,8.123
CHS003,SUB-96,144,6.828
CHS003,SUB-96,144,6.836
CHS003,SUB-96,144,6.222
CHS003,SUB-96,144,6.915
CHS003,SUB-96,144,5.785
CHS003,SUB-96,144,6.928
CHS003,SUB-96,144,6.932
CHS010,SUB-72,144,6.134
CHS010,SUB-72,144,8.049
CHS010,SUB-72,144,7.757
CHS010,SUB-72,144,7.246
CHS010,SUB-72,144,7.177
CHS010,SUB-72,144,6.672
CHS010,SUB-72,144,7.527
CHS010,SUB-72,144,6.699
CHS010,SUB-72,144,6.969
CHS010,SUB-72,144,7.277
CHS020,SUB-96,144,6.966
CHS020,SUB-96,144,7.03
CHS020,SUB-96,144,6.968
CHS020,SUB-96,144,7.117
CHS020,SUB-96,144,6.932
CHS020,SUB-96,144,8.005
CHS020,SUB-96,144,7.599
CHS020,SUB-96,144,7.507
CHS020,SUB-96,144,8.126
CHS020,SUB-96,144,7.021
CHS023,SUB-96,144,6.323
CHS023,SUB-96,144,6.506
CHS023,SUB-96,144,6.571
CHS023,SUB-96,144,6.516
CHS023,SUB-96,144,6.012
CHS023,SUB-96,144,6.61
CHS023,SUB-96,144,7.081
CHS023,SUB-96,144,6.517
CHS023,SUB-96,144,6.707
CHS023,SUB-96,144,6.457
CHS046,Control,144,6.746
CHS046,Control,144,6.026
CHS046,Control,144,6.666
CHS046,Control,144,6.173
CHS046,Control,144,6.65
CHS046,Control,144,6.26
CHS046,Control,144,6.879
CHS046,Control,144,6.85
CHS046,Control,144,7.127
CHS046,Control,144,6.902
CHS053,SUB-96,144,7.487
CHS053,SUB-96,144,6.157
CHS053,SUB-96,144,7.029
CHS053,SUB-96,144,7.204
CHS053,SUB-96,144,6.042
CHS053,SUB-96,144,7.094
CHS053,SUB-96,144,6.865
CHS053,SUB-96,144,7.539
CHS053,SUB-96,144,6.964
CHS053,SUB-96,144,7.06
CHS054,Control,144,5.973
CHS054,Control,144,6.588
CHS054,Control,144,6.792
CHS054,Control,144,5.74
CHS054,Control,144,6.17
CHS054,Control,144,6.934
CHS054,Control,144,5.84
CHS054,Control,144,7.11
CHS054,Control,144,7.651
CHS054,Control,144,6.907
CHS056,SUB-72,144,5.625
CHS056,SUB-72,144,7.451
CHS056,SUB-72,144,6.59
CHS056,SUB-72,144,6.453
CHS056,SUB-72,144,6.474
CHS056,SUB-72,144,6.816
CHS056,SUB-72,144,5.579
CHS056,SUB-72,144,6.267
CHS056,SUB-72,144,6.695
CHS056,SUB-72,144,5.398
CHS067,SUB-72,144,4.908
CHS067,SUB-72,144,3.588
CHS067,SUB-72,144,5.424
CHS067,SUB-72,144,3.986
CHS067,SUB-72,144,3.908
CHS067,SUB-72,144,5.652
CHS067,SUB-72,144,4.139
CHS067,SUB-72,144,4.19
CHS067,SUB-72,144,4.658
CHS067,SUB-72,144,4.723
CHS068,Control,144,5.757
CHS068,Control,144,7.472
CHS068,Control,144,7.558
CHS068,Control,144,7.825
CHS068,Control,144,7.612
CHS068,Control,144,7.26
CHS068,Control,144,7.405
CHS068,Control,144,7.807
CHS068,Control,144,7.844
CHS068,Control,144,7.799
CHS073,Control,144,5.864
CHS073,Control,144,6.706
CHS073,Control,144,6.593
CHS073,Control,144,6.326
CHS073,Control,144,6.5
CHS073,Control,144,6.671
CHS073,Control,144,6.247
CHS073,Control,144,5.908
CHS073,Control,144,6.283
CHS073,Control,144,6.607
CHS077,Control,144,5.691
CHS077,Control,144,6.598
CHS077,Control,144,6.755
CHS077,Control,144,7.274
CHS077,Control,144,6.498
CHS077,Control,144,6.901
CHS077,Control,144,7.397
CHS077,Control,144,7.016
CHS077,Control,144,6.878
CHS077,Control,144,7.407
CHS098,SUB-84,144,7.827
CHS098,SUB-84,144,7.109
CHS098,SUB-84,144,6.81
CHS098,SUB-84,144,7.499
CHS098,SUB-84,144,7.209
CHS098,SUB-84,144,6.962
CHS098,SUB-84,144,6.964
CHS098,SUB-84,144,7.191
CHS098,SUB-84,144,6.944
CHS098,SUB-84,144,6.998
CHS115,SUB-72,144,6.185
CHS115,SUB-72,144,6.432
CHS115,SUB-72,144,6.106
CHS115,SUB-72,144,6.474
CHS115,SUB-72,144,6.663
CHS115,SUB-72,144,6.598
CHS115,SUB-72,144,6.392
CHS115,SUB-72,144,6.239
CHS115,SUB-72,144,6.432
CHS115,SUB-72,144,5.976
CHS124,SUB-84,144,6.608
CHS124,SUB-84,144,6.495
CHS124,SUB-84,144,5.641
CHS124,SUB-84,144,6.597
CHS124,SUB-84,144,6.41
CHS124,SUB-84,144,6.876
CHS124,SUB-84,144,6.339
CHS124,SUB-84,144,6.245
CHS124,SUB-84,144,6.816
CHS124,SUB-84,144,5.911
CHS133,SUB-72,144,6.496
CHS133,SUB-72,144,6.799
CHS133,SUB-72,144,6.433
CHS133,SUB-72,144,6.533
CHS133,SUB-72,144,6.272
CHS133,SUB-72,144,5.977
CHS133,SUB-72,144,6.474
CHS133,SUB-72,144,6.292
CHS133,SUB-72,144,5.681
CHS133,SUB-72,144,6.393
CHS135,SUB-96,144,6.396
CHS135,SUB-96,144,6.908
CHS135,SUB-96,144,5.834
CHS135,SUB-96,144,6.519
CHS135,SUB-96,144,6.634
CHS135,SUB-96,144,5.385
CHS135,SUB-96,144,6.36
CHS135,SUB-96,144,6.241
CHS135,SUB-96,144,5.848
CHS135,SUB-96,144,6.514
CHS136,SUB-84,144,6.18
CHS136,SUB-84,144,5.251
CHS136,SUB-84,144,6.164
CHS136,SUB-84,144,6.287
CHS136,SUB-84,144,5.984
CHS136,SUB-84,144,6.171
CHS136,SUB-84,144,6.262
CHS136,SUB-84,144,6.014
CHS136,SUB-84,144,5.953
CHS136,SUB-84,144,5.995
CHS138,Control,144,5.914
CHS138,Control,144,5.77
CHS138,Control,144,5.758
CHS138,Control,144,5.755
CHS138,Control,144,6.272
CHS138,Control,144,6.239
CHS138,Control,144,5.78
CHS138,Control,144,5.982
CHS138,Control,144,4.576
CHS138,Control,144,5.656
CHS149,SUB-84,144,7.299
CHS149,SUB-84,144,6.657
CHS149,SUB-84,144,7.243
CHS149,SUB-84,144,6.801
CHS149,SUB-84,144,6.997
CHS149,SUB-84,144,7.079
CHS149,SUB-84,144,6.513
CHS149,SUB-84,144,7.258
CHS149,SUB-84,144,7.15
CHS149,SUB-84,144,7.45
CHS150,Control,144,6.649
CHS150,Control,144,6.752
CHS150,Control,144,6.259
CHS150,Control,144,7.174
CHS150,Control,144,7.025
CHS150,Control,144,6.704
CHS150,Control,144,6.611
CHS150,Control,144,6.429
CHS150,Control,144,6.753
CHS150,Control,144,6.413
CHS152,SUB-84,144,7.629
CHS152,SUB-84,144,7.068
CHS152,SUB-84,144,7.066
CHS152,SUB-84,144,7.297
CHS152,SUB-84,144,6.408
CHS152,SUB-84,144,7.327
CHS152,SUB-84,144,7.769
CHS152,SUB-84,144,7.019
CHS152,SUB-84,144,6.633
CHS152,SUB-84,144,7.024
CHS155,SUB-72,144,6.462
CHS155,SUB-72,144,6.682
CHS155,SUB-72,144,6.556
CHS155,SUB-72,144,6.495
CHS155,SUB-72,144,5.771
CHS155,SUB-72,144,6.319
CHS155,SUB-72,144,6.508
CHS155,SUB-72,144,6.418
CHS155,SUB-72,144,6.51
CHS155,SUB-72,144,6.095
