"HPO","Survival","LowerCI","UpperCI","SDE","SD"
12,0.97008547008547,0.954773851777237,0.985642639373949,0.00811732930550626,0.175604682184976
24,0.963675213675214,0.946872552834234,0.980776044962144,0.00897456202104552,0.194149461250268
36,0.952991452991453,0.934007091630673,0.972361685058682,0.010266466267201,0.222097623265288
48,0.950854700854701,0.931470036859515,0.970642775784577,0.0105089901743135,0.227344217561008
60,0.938034188034188,0.916443627055428,0.960133402583791,0.0118807487670637,0.257019893223323
72,0.935897435897436,0.913967447460321,0.958353618559726,0.0120976396904071,0.261711961295107
84,0.931623931623931,0.9090358866986,0.954773252271173,0.0125230126127557,0.270914184591439
96,0.925213675213675,0.901686165072485,0.949355083798565,0.0131421720205894,0.284308650547221
108,0.908119658119658,0.882322891939175,0.934670652884087,0.0147033683120043,0.318082490225783
120,0.908119658119658,0.882322891939175,0.934670652884087,0.0147033683120043,0.318082490225783
